"email","start_time","end_time","usage_type","accelerator_type","accelerator_seconds","base_model_name","model_bucket","parameter_count","prompt_tokens","completion_tokens","cached_prompt_tokens","uncached_prompt_tokens"
"[REDACTED]","2026-08-19 02:24:31 UTC","2026-08-19 02:24:31 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","271044","1878","270336","708"
"[REDACTED]","2026-08-19 02:24:49 UTC","2026-08-19 02:24:49 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","273219","126","271043","2176"
"[REDACTED]","2026-08-19 02:24:53 UTC","2026-08-19 02:24:53 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","273831","7567","273218","613"
"[REDACTED]","2026-08-19 02:25:47 UTC","2026-08-19 02:25:47 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","281445","270","273830","7615"
"[REDACTED]","2026-08-19 02:25:56 UTC","2026-08-19 02:25:56 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","282330","554","281444","886"
"[REDACTED]","2026-08-19 02:26:04 UTC","2026-08-19 02:26:04 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","283697","618","282329","1368"
"[REDACTED]","2026-08-19 02:26:12 UTC","2026-08-19 02:26:12 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","284856","543","283696","1160"
"[REDACTED]","2026-08-19 02:26:21 UTC","2026-08-19 02:26:21 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","285983","1263","284855","1128"
"[REDACTED]","2026-08-19 02:26:34 UTC","2026-08-19 02:26:34 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","287271","255","285982","1289"
"[REDACTED]","2026-08-19 02:26:48 UTC","2026-08-19 02:26:48 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","287556","185","287270","286"
"[REDACTED]","2026-08-19 02:29:35 UTC","2026-08-19 02:29:35 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","295061","1303","293624","1437"
"[REDACTED]","2026-08-19 02:29:48 UTC","2026-08-19 02:29:48 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","298400","1260","295060","3340"
"[REDACTED]","2026-08-19 02:30:03 UTC","2026-08-19 02:30:03 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","300910","3043","298399","2511"
"[REDACTED]","2026-08-19 02:30:32 UTC","2026-08-19 02:30:32 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","304118","1597","300909","3209"
"[REDACTED]","2026-08-19 02:30:48 UTC","2026-08-19 02:30:48 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","305754","764","304117","1637"
"[REDACTED]","2026-08-19 02:31:07 UTC","2026-08-19 02:31:07 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","306527","1018","305753","774"
"[REDACTED]","2026-08-19 02:31:18 UTC","2026-08-19 02:31:18 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","309244","753","306526","2718"
"[REDACTED]","2026-08-19 02:31:28 UTC","2026-08-19 02:31:28 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","311227","2348","309243","1984"
"[REDACTED]","2026-08-19 02:23:41 UTC","2026-08-19 02:23:41 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","265143","1909","259600","5543"
"[REDACTED]","2026-08-19 04:16:42 UTC","2026-08-19 04:16:42 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","516561","1548","514955","1606"
"[REDACTED]","2026-08-19 04:17:01 UTC","2026-08-19 04:17:01 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","518210","1774","516560","1650"
